,id_prenda,article_id,product_code,prod_name,product_group_name,detail_desc,texto_prenda,fit,estructura,volumen,sleeve,neckline,material,neckline_effects
6438,40,505763001,505763,Ivanovic utility ss shirt,upper body,utility shirt in tencel lyocell twill with a narrow collar and concealed buttons down the front flap chest pockets with a pleat and short sleeves with sewn in turn ups straight cut hem with slits at the sides,blueshirt blouses utility shirt in tencel lyocell twill with a narrow collar and concealed buttons down the front flap chest pockets with a pleat and short sleeves with sewn in turn ups straight cut hem with slits at the sides,regular,rigida,alto,corta,redondo,unknown,cerrado
6441,41,505765001,505765,Defour blouse,upper body,striped wide fitting blouse in a slub cotton weave with a collar v neck and short frill trimmed cap sleeves longer at the back,blueblouse blouses striped wide fitting blouse in a slub cotton weave with a collar v neck and short frill trimmed cap sleeves longer at the back,amplio,media,alto,unknown,v,cotton,alarga
6490,42,506269001,506269,Shannon pintuck top,upper body,wide top in an lightweight cotton weave with a v neck pin tucks front and back and overlocked edges longer at the back,whiteblouse blouses wide top in an lightweight cotton weave with a v neck pin tucks front and back and overlocked edges longer at the back,amplio,fluida,alto,unknown,v,cotton,alarga
6491,43,506269002,506269,Shannon pintuck top,upper body,wide top in an lightweight cotton weave with a v neck pin tucks front and back and overlocked edges longer at the back,orangeblouse blouses wide top in an lightweight cotton weave with a v neck pin tucks front and back and overlocked edges longer at the back,amplio,fluida,alto,unknown,v,cotton,alarga
6559,44,506679004,506679,Sandy LS,upper body,fitted top in ribbed jersey with a slight sheen lace trimmed v neck and long sleeves,orangetop jersey fancy fitted top in ribbed jersey with a slight sheen lace trimmed v neck and long sleeves,ajustado,fluida,bajo,larga,v,knit,alarga
6641,45,507909001,507909,Rebecca or Delphine shirt,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,whiteshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6642,46,507909002,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,pinkshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6643,47,507909003,507909,Rebecca or Delphine shirt,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blackshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6644,48,507909004,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6645,49,507909006,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,whiteshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6646,50,507909007,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,pinkshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6647,51,507909008,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6648,52,507909015,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6649,53,507909017,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,whiteshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6650,54,507909018,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6651,55,507909021,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,pinkshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6652,56,507909022,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6653,57,507909023,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6654,58,507909024,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6655,59,507909026,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,pinkshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6656,60,507909027,507909,Rebecca,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,blueshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6657,61,507909030,507909,Rebecca shirt,upper body,gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,pinkshirt blouses gently tailored shirt in a stretch cotton blend with a turn down collar v neck buttons down the front and buttoned cuffs,ajustado,media,bajo,unknown,v,cotton,alarga
6658,62,507910001,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,whiteshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6659,63,507910002,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6660,64,507910004,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blackshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6661,65,507910006,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6662,66,507910007,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,whiteshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6663,67,507910008,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6664,68,507910009,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,redshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6665,69,507910020,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6666,70,507910021,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6667,71,507910025,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,pinkshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6668,72,507910026,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6669,73,507910027,507910,Isabella,upper body,fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,blueshirt blouses fitted shirt in a stretch weave made from a cotton blend with a collar and concealed buttons down the front chest pocket long sleeves with buttoned cuffs and a gently rounded hem,ajustado,media,bajo,larga,alto,cotton,cerrado
6797,74,508811001,508811,Cello,upper body,v neck jumper in soft fine knit cashmere with gently dropped shoulders and long sleeves ribbing at the cuffs and hem and slits in the sides slightly longer at the back,pinksweater knitwear v neck jumper in soft fine knit cashmere with gently dropped shoulders and long sleeves ribbing at the cuffs and hem and slits in the sides slightly longer at the back,regular,fluida,medio,larga,v,wool,alarga
6798,75,508811002,508811,Cello,upper body,v neck jumper in soft fine knit cashmere with gently dropped shoulders and long sleeves ribbing at the cuffs and hem and slits in the sides slightly longer at the back,greysweater knitwear v neck jumper in soft fine knit cashmere with gently dropped shoulders and long sleeves ribbing at the cuffs and hem and slits in the sides slightly longer at the back,regular,fluida,medio,larga,v,wool,alarga
6930,76,509097003,509097,Bay Tunic,upper body,v neck tunic in woven fabric with a fastener at the top wide 3 4 length sleeves slits in the sides and a rounded hem,brownblouse dresses ladies v neck tunic in woven fabric with a fastener at the top wide 3 4 length sleeves slits in the sides and a rounded hem,amplio,media,alto,media,v,woven,alarga
6931,77,509097004,509097,Bay Tunic,upper body,v neck tunic in woven fabric with a fastener at the top wide 3 4 length sleeves slits in the sides and a rounded hem,blackblouse dresses ladies v neck tunic in woven fabric with a fastener at the top wide 3 4 length sleeves slits in the sides and a rounded hem,amplio,media,alto,media,v,woven,alarga
7039,78,510014002,510014,Coco,upper body,sleeveless blouse in lightweight chiffon with a collar buttons down the front and a rounded hem slightly longer at the back,greenblouse blouses sleeveless blouse in lightweight chiffon with a collar buttons down the front and a rounded hem slightly longer at the back,regular,fluida,medio,sin_mangas,alto,delicado,cerrado
7045,79,510045001,510045,Dank,upper body,sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,orangeblouse blouses sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,amplio,fluida,alto,sin_mangas,v,sintetico,alarga
7046,80,510045005,510045,Dank,upper body,sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,greenblouse blouses sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,amplio,fluida,alto,sin_mangas,v,sintetico,alarga
7047,81,510045006,510045,Dank,upper body,sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,whiteblouse blouses sleeveless blouse in an lightweight weave with a small stand up collar and v neck with decorative pleats at the front yoke with a pleat at the back and a rounded hem with slits in the sides the polyester content of the blouse is partly recycled,amplio,fluida,alto,sin_mangas,v,sintetico,alarga
7171,82,510933005,510933,ES Winne top,upper body,off the shoulder blouse in a cotton weave elastication around the top short sleeves with a double frill buttons down the front and a drawstring at the waist,whiteblouse blouses off the shoulder blouse in a cotton weave elastication around the top short sleeves with a double frill buttons down the front and a drawstring at the waist,amplio,media,alto,corta,strapless,cotton,horizontal
7172,83,510933006,510933,ES Winne top,upper body,off the shoulder blouse in a cotton weave elastication around the top short sleeves with a double frill buttons down the front and a drawstring at the waist,blueblouse blouses off the shoulder blouse in a cotton weave elastication around the top short sleeves with a double frill buttons down the front and a drawstring at the waist,amplio,media,alto,corta,strapless,cotton,horizontal
7198,84,511167002,511167,SPEED CS Bea Sleeve,upper body,top in cotton sweatshirt fabric with low dropped shoulders and wide 3 4 length puff sleeves soft brushed inside,oranget shirt jersey fancy top in cotton sweatshirt fabric with low dropped shoulders and wide 3 4 length puff sleeves soft brushed inside,amplio,fluida,alto,voluminosa,redondo,cotton,cerrado
7199,85,511167004,511167,SPEED CS Bea Sleeve,upper body,top in cotton sweatshirt fabric with low dropped shoulders and wide 3 4 length puff sleeves soft brushed inside,whitet shirt jersey fancy top in cotton sweatshirt fabric with low dropped shoulders and wide 3 4 length puff sleeves soft brushed inside,amplio,fluida,alto,voluminosa,redondo,cotton,cerrado
7218,86,511559003,511559,ES Buffy top,upper body,short one shoulder top in a fine sturdy knit with a wide flounce at the top,whitetop jersey fancy short one shoulder top in a fine sturdy knit with a wide flounce at the top,amplio,rigida,alto,unknown,asimetrico,knit,horizontal
7260,87,512008004,512008,ES Painter Top,upper body,off the shoulder blouse in a cotton weave with short sleeves smocking and frill details,yellowblouse blouses off the shoulder blouse in a cotton weave with short sleeves smocking and frill details,amplio,media,alto,corta,strapless,cotton,horizontal
7484,88,514691001,514691,FT Devine tunic,upper body,off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,whiteblouse blouses off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,amplio,media,alto,tirantes,strapless,cotton,horizontal
7485,89,514691003,514691,FT Devine tunic,upper body,off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,blueblouse blouses off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,amplio,media,alto,tirantes,strapless,cotton,horizontal
7486,90,514691006,514691,FT Devine tunic,upper body,off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,pinkblouse blouses off the shoulder blouse in a cotton weave with buttons down the front narrow shoulder straps a frill around the top and long sleeves with buttoned cuffs,amplio,media,alto,tirantes,strapless,cotton,horizontal
7550,91,515235001,515235,Simpson,upper body,fitted jumper in a rib knit viscose blend with a turtle neck and long sleeves,blacksweater knitwear fitted jumper in a rib knit viscose blend with a turtle neck and long sleeves,ajustado,fluida,bajo,larga,alto,sintetico,cerrado
