,id_prenda,article_id,product_code,prod_name,product_group_name,detail_desc,texto_prenda,fit,estructura,material,volumen,tiro,longitud
5814,19,500134002,500134,W Dylan,lower body,maxi skirt in a patterned viscose weave with a concealed zip in one side and flare to the hem unlined,blackskirt skirts maxi skirt in a patterned viscose weave with a concealed zip in one side and flare to the hem unlined,amplio,acampanada,sintetico,alto,unknown,maxi
5937,20,501322001,501322,Vermont fluid essential,lower body,suit trousers in woven fabric with a regular waist with a hook and eye fastener and zip fly side pockets fake back pockets and slim legs with creases,blacktrousers trousers suit trousers in woven fabric with a regular waist with a hook and eye fastener and zip fly side pockets fake back pockets and slim legs with creases,ajustado,entallada,woven,bajo,medio,unknown
5938,21,501323001,501323,Thomas paperbag wide,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,greentrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5939,22,501323003,501323,Thomas paperbag,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,blacktrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5940,23,501323004,501323,Thomas paperbag,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,bluetrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5941,24,501323006,501323,Thomas paperbag,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,whitetrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5942,25,501323007,501323,Thomas paperbag wide,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,greytrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5943,26,501323008,501323,Thomas paperbag wide,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,blacktrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5944,27,501323011,501323,Thomas paperbag wide,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,blacktrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
5945,28,501323012,501323,Thomas paperbag wide,lower body,trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,blacktrousers trousers trousers in woven fabric with a high paper bag waist with a tie belt zip fly side pockets welt back pockets and straight wide legs,amplio,recta,woven,alto,alto,unknown
6443,29,505838001,505838,Solange 5 pocket (1),lower body,5 pocket ankle length trousers in washed superstretch twill with a regular waist and skinny legs,blacktrousers trousers 5 pocket ankle length trousers in washed superstretch twill with a regular waist and skinny legs,ajustado,entallado,woven,bajo,medio,cropped
6682,30,508009001,508009,Kajsa shorts,lower body,short high waisted shorts in woven fabric with pleats at the top and a tie belt zip fly hook and eye fastener and side pockets,blackshorts shorts short high waisted shorts in woven fabric with pleats at the top and a tie belt zip fly hook and eye fastener and side pockets,amplio,acampanado,woven,alto,unknown,mini
6717,31,508384001,508384,Brittany playsuit,lower body,playsuit in a soft viscose and tencel lyocell weave with a v neck concealed fastening at the front and short sleeves with sewn in turn ups flap chest pockets with a press stud an elasticated seam at the waist side pockets welt back pockets and short legs with sewn in turn ups,khaki greenshorts trousers playsuit in a soft viscose and tencel lyocell weave with a v neck concealed fastening at the front and short sleeves with sewn in turn ups flap chest pockets with a press stud an elasticated seam at the waist side pockets welt back pockets and short legs with sewn in turn ups,ajustado,recta,sintetico,bajo,unknown,mini
7008,32,509843003,509843,Monaco trouser,lower body,trousers in an airy viscose weave with an elasticated waist fake fly and side pockets tapered legs with sewn in turn ups at the hems,blacktrousers trousers trousers in an airy viscose weave with an elasticated waist fake fly and side pockets tapered legs with sewn in turn ups at the hems,amplio,recta,sintetico,medio,alto,unknown
7009,33,509843008,509843,Monaco trouser,lower body,trousers in an airy viscose weave with an elasticated waist fake fly and side pockets tapered legs with sewn in turn ups at the hems,blacktrousers trousers trousers in an airy viscose weave with an elasticated waist fake fly and side pockets tapered legs with sewn in turn ups at the hems,amplio,recta,sintetico,medio,alto,unknown
7156,34,510688001,510688,Piccadelly trousers,lower body,trousers in woven fabric with a slight sheen regular elasticated waist side pockets and slightly wider tapered legs with creases,redtrousers trousers trousers in woven fabric with a slight sheen regular elasticated waist side pockets and slightly wider tapered legs with creases,amplio,entallada,woven,medio,alto,unknown
7181,35,511047001,511047,Premium Monroe,lower body,knee length airy chiffon skirt in a silk blend with a jacquard weave pattern regular waist concealed zip at the back and an asymmetric hem satin lining,beigeskirt unknown knee length airy chiffon skirt in a silk blend with a jacquard weave pattern regular waist concealed zip at the back and an asymmetric hem satin lining,regular,fluida,delicado,unknown,medio,midi
7307,36,512508001,512508,Jen Bermuda,lower body,5 pocket shorts in washed stretch denim with a regular waist zip fly and slim legs with sewn in turn ups at the hems,blueshorts shorts 5 pocket shorts in washed stretch denim with a regular waist zip fly and slim legs with sewn in turn ups at the hems,ajustado,recta,denim,bajo,medio,mini
7909,37,518328009,518328,Mimi Superstretch,lower body,5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,bluetrousers trousers 5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,ajustado,entallado,woven,bajo,medio,unknown
7910,38,518328016,518328,Mimi Superstretch,lower body,5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,lilac purpletrousers trousers 5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,ajustado,entallado,woven,bajo,medio,unknown
7911,39,518328024,518328,Mimi Superstretch,lower body,5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,greentrousers trousers 5 pocket trousers in washed superstretch twill with a regular waist zip fly with a button and slim legs,ajustado,entallado,woven,bajo,medio,unknown
7912,40,518329007,518329,Space Treggings,lower body,treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,blacktrousers trousers treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,ajustado,entallado,woven,bajo,alto,unknown
7913,41,518329010,518329,Space Treggings,lower body,treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,khaki greentrousers trousers treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,ajustado,entallado,woven,bajo,alto,unknown
7914,42,518329015,518329,Space Treggings,lower body,treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,orangetrousers trousers treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,ajustado,entallado,woven,bajo,alto,unknown
7915,43,518329019,518329,Space Treggings,lower body,treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,greytrousers trousers treggings in superstretch twill with an elasticated waist fake pockets at the front and real pockets at the back,ajustado,entallado,woven,bajo,alto,unknown
8012,44,519589003,519589,Mandy jacquard,lower body,shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,orangeshorts shorts shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,regular,acampanado,unknown,alto,medio,mini
8013,45,519589004,519589,Mandy jacquard,lower body,shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,orangeshorts shorts shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,regular,acampanado,unknown,alto,medio,mini
8014,46,519589005,519589,Mandy jacquard,lower body,shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,blackshorts shorts shorts in a jacquard weave with a slight sheen regular waist that is elasticated at the back pleats at the front side pockets and wide legs,regular,acampanado,unknown,alto,medio,mini
8023,47,519728002,519728,W Lexi,lower body,flared calf length skirt in viscose crepe with a concealed zip at the waist unlined,redskirt skirts flared calf length skirt in viscose crepe with a concealed zip at the waist unlined,amplio,acampanada,sintetico,alto,unknown,cropped
8089,48,519914001,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,blacktrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8090,49,519914004,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,whitetrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8091,50,519914006,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,bluetrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8092,51,519914008,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,pinktrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8093,52,519914009,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,blacktrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8094,53,519914010,519914,Kanta slacks,lower body,trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,greentrousers trousers trousers in woven fabric with one welt back pocket a concealed zip in the side and slim legs with short slits at the hems,ajustado,entallado,woven,bajo,unknown,mini
8129,54,520025002,520025,Ingrid scallop shorts,lower body,shorts in woven fabric with a slight sheen regular elasticated drawstring waist and wide legs in a double layer with slits in the sides and scalloped hems,greenshorts shorts shorts in woven fabric with a slight sheen regular elasticated drawstring waist and wide legs in a double layer with slits in the sides and scalloped hems,amplio,acampanado,woven,alto,unknown,mini
8130,55,520025004,520025,Ingrid scallop shorts,lower body,shorts in woven fabric with a slight sheen regular elasticated drawstring waist and wide legs in a double layer with slits in the sides and scalloped hems,lilac purpleshorts shorts shorts in woven fabric with a slight sheen regular elasticated drawstring waist and wide legs in a double layer with slits in the sides and scalloped hems,amplio,acampanado,woven,alto,unknown,mini
8149,56,520392001,520392,Florence playsuit,lower body,sleeveless playsuit in woven fabric with scalloped edges top in a double layer with an opening and button at the back of the neck seam at the waist with a concealed zip at the back and short legs unlined,redshorts trousers sleeveless playsuit in woven fabric with scalloped edges top in a double layer with an opening and button at the back of the neck seam at the waist with a concealed zip at the back and short legs unlined,amplio,acampanado,woven,alto,unknown,mini
8496,57,523535005,523535,Spearmint chorts,lower body,5 pocket shorts in washed stretch twill with a regular waist zip fly and button and sewn in turn ups at the hems,whiteshorts unknown 5 pocket shorts in washed stretch twill with a regular waist zip fly and button and sewn in turn ups at the hems,regular,recta,woven,unknown,medio,mini
8503,58,523558004,523558,Kanta trousers,lower body,ankle length cigarette trousers in a stretch weave with a regular waist concealed zip in one side fake welt pocket at the back and slim legs with slits at the hems,whitetrousers unknown ankle length cigarette trousers in a stretch weave with a regular waist concealed zip in one side fake welt pocket at the back and slim legs with slits at the hems,ajustado,entallado,unknown,bajo,medio,cropped
8504,59,523558007,523558,Kanta trousers,lower body,ankle length cigarette trousers in a stretch weave with a regular waist concealed zip in one side fake welt pocket at the back and slim legs with slits at the hems,whitetrousers unknown ankle length cigarette trousers in a stretch weave with a regular waist concealed zip in one side fake welt pocket at the back and slim legs with slits at the hems,ajustado,entallado,unknown,bajo,medio,cropped
8550,60,523756001,523756,Blackberry shorts,lower body,short shorts in a linen and cotton weave with pleats at the top zip fly concealed hook and eye fastener side pockets and a detachable tie belt,beigeshorts shorts short shorts in a linen and cotton weave with pleats at the top zip fly concealed hook and eye fastener side pockets and a detachable tie belt,amplio,fluida,cotton,alto,unknown,mini
8653,61,524869003,524869,Rock,lower body,short skirt in a cotton weave with broderie anglaise pleats at the top a concealed zip at the back and scalloped hem lined,whiteskirt skirts short skirt in a cotton weave with broderie anglaise pleats at the top a concealed zip at the back and scalloped hem lined,amplio,acampanado,cotton,alto,unknown,mini
8709,62,525456001,525456,FT Cookie skirt,lower body,knee length skirt in a patterned cotton weave with a concealed zip at the side side pockets and a tiers to the hem unlined,blueskirt trousers knee length skirt in a patterned cotton weave with a concealed zip at the side side pockets and a tiers to the hem unlined,amplio,acampanada,cotton,alto,unknown,midi
8728,63,525512001,525512,FT Mae skirt,lower body,calf length mesh skirt with crinkled chiffon tiers and a concealed zip in the side mesh underskirt,pinkskirt trousers calf length mesh skirt with crinkled chiffon tiers and a concealed zip in the side mesh underskirt,amplio,acampanada,delicado,alto,unknown,cropped
8773,64,525583002,525583,FT Drew shorts,lower body,shorts in patterned satin with an elasticated frill trimmed drawstring waist side pockets and a low crotch,pinkshorts trousers shorts in patterned satin with an elasticated frill trimmed drawstring waist side pockets and a low crotch,amplio,fluida,delicado,alto,unknown,mini
8886,65,526751002,526751,City shorts,lower body,shorts in woven fabric regular waist with a hook and eye fastener side pockets fake back pockets and wide legs with creases,pinkshorts trousers shorts in woven fabric regular waist with a hook and eye fastener side pockets fake back pockets and wide legs with creases,regular,entallada,woven,unknown,medio,mini
8887,66,526751003,526751,City shorts,lower body,shorts in woven fabric regular waist with a hook and eye fastener side pockets fake back pockets and wide legs with creases,blueshorts trousers shorts in woven fabric regular waist with a hook and eye fastener side pockets fake back pockets and wide legs with creases,regular,entallada,woven,unknown,medio,mini
9089,67,529064001,529064,Nox,lower body,ankle length trousers in imitation suede with a regular waist concealed zip in one side and slim legs with decorative seams,blacktrousers trousers ankle length trousers in imitation suede with a regular waist concealed zip in one side and slim legs with decorative seams,ajustado,entallado,unknown,bajo,medio,cropped
9200,68,531195001,531195,Gilliflower,lower body,skirt in a soft tencel lyocell weave with an elasticated paper bag waist tie belt and side pockets,unknownskirt shorts skirt in a soft tencel lyocell weave with an elasticated paper bag waist tie belt and side pockets,amplio,fluida,tencel,alto,alto,mini
9241,69,531526002,531526,DT W Rain,lower body,short pleated skirt in an airy viscose weave with ties at the front and a concealed zip in the side,blueskirt skirts short pleated skirt in an airy viscose weave with ties at the front and a concealed zip in the side,amplio,acampanado,sintetico,alto,unknown,mini
9296,70,532205003,532205,Kourtney camo cargo,lower body,5 pocket trousers in patterned stretch twill with a regular waist with a button zip fly and slim legs with a zip at the hems,khaki greentrousers trousers 5 pocket trousers in patterned stretch twill with a regular waist with a button zip fly and slim legs with a zip at the hems,ajustado,entallado,woven,bajo,medio,unknown
9395,71,533135004,533135,Mandy shorts print,lower body,wide shorts in a viscose weave with a regular elasticated waist pleats at the front and side pockets,whiteshorts shorts wide shorts in a viscose weave with a regular elasticated waist pleats at the front and side pockets,amplio,acampanado,sintetico,alto,alto,mini
9396,72,533135005,533135,Mandy shorts print,lower body,wide shorts in a viscose weave with a regular elasticated waist pleats at the front and side pockets,greenshorts shorts wide shorts in a viscose weave with a regular elasticated waist pleats at the front and side pockets,amplio,acampanado,sintetico,alto,alto,mini
9542,73,533766001,533766,ED Girlfriend shorts,lower body,5 pocket shorts in washed stretch denim with a regular waist zip fly and sewn in turn ups at the hems,blueshorts shorts 5 pocket shorts in washed stretch denim with a regular waist zip fly and sewn in turn ups at the hems,regular,recta,denim,unknown,medio,mini
9569,74,534037001,534037,Monsa,lower body,knee length bell shaped skirt in woven fabric with an elasticated waist and concealed zip at the back unlined,blackskirt skirts knee length bell shaped skirt in woven fabric with an elasticated waist and concealed zip at the back unlined,amplio,acampanada,woven,unknown,alto,midi
9646,75,534307001,534307,Action satin,lower body,pleated skirt in patterned satin with visible elastic at the waist and a raw edge hem unlined,blueskirt skirts pleated skirt in patterned satin with visible elastic at the waist and a raw edge hem unlined,amplio,fluida,delicado,alto,unknown,midi
9806,76,536162002,536162,CSP W Viktoria,lower body,short pleated skirt in woven fabric with elastication and a small frill at the waist lined,orangeskirt skirts short pleated skirt in woven fabric with elastication and a small frill at the waist lined,amplio,acampanado,woven,alto,unknown,mini
10124,77,538905005,538905,Queen Bee Jogger,lower body,ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,redtrousers trousers ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,amplio,entallada,woven,medio,unknown,cropped
10125,78,538905010,538905,Queen Bee Jogger,lower body,ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,bluetrousers trousers ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,amplio,entallada,woven,medio,unknown,cropped
10126,79,538905011,538905,Queen Bee Jogger,lower body,ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,blacktrousers trousers ankle length pull on trousers in soft twill with elastic at the back of the waist loose fit with a fake fly side pockets a fake back pocket and tapered legs,amplio,entallada,woven,medio,unknown,cropped
10261,80,539465004,539465,D Begonia Denim Shorts EQ,lower body,short 5 pocket shorts in stretch denim with worn details a regular waist zip fly and raw edge hems,blueshorts unknown short 5 pocket shorts in stretch denim with worn details a regular waist zip fly and raw edge hems,regular,recto,denim,unknown,medio,mini
10267,81,539471002,539471,W T Daffodil EQ,lower body,calf length skirt in a patterned cotton weave with a high waist and sewn in wrapover at the front with a wide flounced trim longer at the back with a concealed zip and wide flounced trim at the hem unlined,blackskirt unknown calf length skirt in a patterned cotton weave with a high waist and sewn in wrapover at the front with a wide flounced trim longer at the back with a concealed zip and wide flounced trim at the hem unlined,amplio,fluida,cotton,unknown,alto,cropped
10353,82,540404001,540404,Mae skirt,lower body,flared calf length skirt in patterned crinkled chiffon with several layers of raw edged frills concealed zip in the side lined,yellowskirt trousers flared calf length skirt in patterned crinkled chiffon with several layers of raw edged frills concealed zip in the side lined,amplio,acampanada,delicado,alto,unknown,cropped
10744,83,542846001,542846,Stella 5 pkt slim cropped,lower body,5 pocket ankle length trousers in washed stretch twill with a regular waist zip fly and slim legs,blacktrousers trousers 5 pocket ankle length trousers in washed stretch twill with a regular waist zip fly and slim legs,ajustado,entallado,woven,bajo,medio,cropped
10745,84,542846003,542846,Stella 5 pkt slim cropped,lower body,5 pocket ankle length trousers in washed stretch twill with a regular waist zip fly and slim legs,whitetrousers trousers 5 pocket ankle length trousers in washed stretch twill with a regular waist zip fly and slim legs,ajustado,entallado,woven,bajo,medio,cropped
10971,85,544721001,544721,Gloom lurex frill trsrs,lower body,trousers in a soft fine knit containing glittery threads elasticated waist and a frill at the hems,pinkskirt knitwear trousers in a soft fine knit containing glittery threads elasticated waist and a frill at the hems,amplio,fluida,knit,alto,alto,unknown
11190,86,546371001,546371,Harmony shorts,lower body,short satin shorts in a viscose blend with an elasticated waist and wide tie belt fake fly side pockets and a fake welt pocket at the back,greytrousers shorts short satin shorts in a viscose blend with an elasticated waist and wide tie belt fake fly side pockets and a fake welt pocket at the back,amplio,fluida,sintetico,unknown,alto,mini
11221,87,546562001,546562,CSP W Terry,lower body,calf length pleated skirt in mesh with a shimmering metallic pattern an elasticated waist and gentle flare to the hem lined,blackskirt skirts calf length pleated skirt in mesh with a shimmering metallic pattern an elasticated waist and gentle flare to the hem lined,amplio,acampanada,unknown,alto,alto,cropped
11257,88,546729002,546729,Nix,lower body,ankle length cigarette trousers in woven fabric with a regular waist with concealed elastication concealed zip in one side and tapered legs with creases,blackshorts trousers ankle length cigarette trousers in woven fabric with a regular waist with concealed elastication concealed zip in one side and tapered legs with creases,ajustado,entallada,woven,medio,medio,cropped
11308,89,547087001,547087,DT Tulle,lower body,calf length pleated skirt in tulle with an elasticated waist and short underskirt,redskirt skirts calf length pleated skirt in tulle with an elasticated waist and short underskirt,amplio,fluida,unknown,alto,alto,mini
11313,90,547163002,547163,W Kristin,lower body,short flared skirt in rustling woven fabric with a slight sheen elasticated waist with gathers and side pockets lined,blueskirt skirts short flared skirt in rustling woven fabric with a slight sheen elasticated waist with gathers and side pockets lined,amplio,acampanada,woven,alto,alto,mini
11395,91,547522002,547522,Angelina Skirt,lower body,calf length pleated wrapover skirt in airy crinkled fabric with a concealed button at the waist twill waistband with a satin trim and satin covered buckle at the side lined,greenskirt trousers calf length pleated wrapover skirt in airy crinkled fabric with a concealed button at the waist twill waistband with a satin trim and satin covered buckle at the side lined,amplio,fluida,woven,alto,unknown,cropped
11396,92,547523001,547523,Cara denim,lower body,5 pocket jeans in washed denim with a regular waist pleats and straight slightly shorter legs,turquoisetrousers trousers 5 pocket jeans in washed denim with a regular waist pleats and straight slightly shorter legs,regular,recta,denim,alto,medio,unknown
11428,93,547747001,547747,Mimi star coating,lower body,5 pocket trousers in patterned stretch twill with a regular waist zip fly with a button and slim legs,blacktrousers trousers 5 pocket trousers in patterned stretch twill with a regular waist zip fly with a button and slim legs,ajustado,entallado,woven,bajo,medio,unknown
11457,94,547818001,547818,Action plissé v.5,lower body,calf length skirt in a pleated weave with an elasticated waist and raw edge hem lined,blueskirt skirts calf length skirt in a pleated weave with an elasticated waist and raw edge hem lined,amplio,acampanado,unknown,alto,alto,midi
11656,95,548986001,548986,Oprah skirt,lower body,short skirt in soft twill made from tencel lyocell with an elasticated drawstring waist and side pockets rounded hem with short slits in the sides unlined,khaki greenskirt shorts short skirt in soft twill made from tencel lyocell with an elasticated drawstring waist and side pockets rounded hem with short slits in the sides unlined,amplio,fluida,woven,bajo,unknown,mini
11873,96,550391001,550391,Flare leather trousers,lower body,ankle length 5 pocket trousers in leather with a high waist zip fly with a button seams at the knees and gently flared legs,blacktrousers trousers ankle length 5 pocket trousers in leather with a high waist zip fly with a button seams at the knees and gently flared legs,amplio,acampanada,leather,alto,alto,cropped
12041,97,551230001,551230,Pickle slim trousers,lower body,ankle length trousers in twill containing some wool with a high waist zip fly and concealed button side pockets decorative back pockets and tapered legs with decorative seams and slits at the hems,blacktrousers trousers ankle length trousers in twill containing some wool with a high waist zip fly and concealed button side pockets decorative back pockets and tapered legs with decorative seams and slits at the hems,unknown,entallada,wool,medio,alto,cropped
