,article_id,fit_ajustado,fit_amplio,fit_regular,fit_unknown,material_corduroy,material_cotton,material_delicado,material_denim,material_knit,material_leather,material_linen,material_sintetico,material_tencel,material_unknown,material_wool,material_woven,volumen_alto,volumen_medio,volumen_unknown
13522,558675001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13600,559008003,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13829,559995001,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13830,559995002,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13831,559995004,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13832,559995005,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14240,562245001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14241,562245004,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14242,562245005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14243,562245006,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14244,562245015,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14245,562245017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14246,562245018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14247,562245023,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14248,562245025,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14249,562245034,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14250,562245039,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14251,562245042,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14252,562245043,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14253,562245046,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14254,562245050,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14255,562245054,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14256,562245055,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14257,562245057,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14258,562245058,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14259,562245059,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14260,562245061,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14261,562245062,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14262,562245063,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14263,562245064,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14264,562245084,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14265,562245088,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14266,562245089,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14267,562245090,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14268,562245093,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14269,562245094,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14270,562245096,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14271,562245097,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14272,562245098,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14273,562245099,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14274,562245100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14275,562245102,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14276,562245103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14277,562245104,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14278,562245106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14279,562245108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14280,562245112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14281,562251001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14282,562251006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14283,562251007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14284,562251008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14285,562252001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14286,562252004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14287,562252005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14288,562252010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14289,562252014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14290,562252024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14291,562252028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14292,562252031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14293,562252032,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14294,562252033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14295,562252034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14296,562252035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14297,562252036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14298,562252038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14299,562252039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14300,562252040,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14581,563538001,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15375,566654002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15377,566715003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15591,567562001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
16161,568931001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16162,568931002,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16163,568931007,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16164,568931008,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16165,568931009,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16166,568931012,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16167,568931013,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16173,568943001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16174,568943002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16322,569888001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16677,570546001,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
17147,573085001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17148,573085004,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17149,573085005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17150,573085010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17151,573085014,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17152,573085019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17153,573085020,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17154,573085027,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17155,573085028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17156,573085029,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17157,573085030,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17158,573085033,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17159,573085034,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17160,573085038,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17161,573085039,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17162,573085040,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17163,573085042,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17164,573085043,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17165,573085044,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17166,573085045,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17167,573085047,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17168,573085052,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17169,573085054,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17170,573085055,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17171,573085057,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17172,573085059,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17377,573716002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17378,573716005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17379,573716007,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17380,573716009,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17381,573716010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17382,573716011,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17383,573716012,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17384,573716013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17385,573716015,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17386,573716016,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17387,573716023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17388,573716024,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17389,573716028,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17390,573716033,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17391,573716037,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17392,573716039,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17393,573716040,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17394,573716046,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17395,573716049,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17396,573716050,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17397,573716052,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17398,573716053,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17399,573716054,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17400,573716072,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17414,573856001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17415,573856022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17416,573856023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17417,573856024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17421,573870005,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
17644,575172001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17645,575172002,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17646,575172003,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17647,575172005,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17654,575236001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17708,575495001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17709,575495003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17710,575495005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17711,575495008,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17712,575495009,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17715,575501001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17716,575501003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17760,575542001,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17761,575542002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17762,575542003,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17763,575542004,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17764,575542005,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17765,575542007,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17766,575542011,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17767,575542014,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
17992,577178002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18294,578476001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18576,579517001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18976,581531001,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19218,583039001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19858,585851001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19859,585851002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19860,585851003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19861,585851004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19862,585854001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
20253,588156001,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
20385,588689001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20386,588689002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20387,588689005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20388,588689008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20389,588689009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20390,588689010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20391,588689012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20392,588689013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20393,588689014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20410,588812001,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20895,591181001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20896,591181002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20897,591181003,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20898,591181005,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
20899,591181006,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21098,592162001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
21133,592324001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
21134,592324002,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
22060,596822001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22169,597377001,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
22366,598367002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
22622,599502001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22623,599502002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22624,599502005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22625,599502009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22626,599502012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
22627,599502013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
